,uniqueid,lon,lat,event_date,cluster
128,316078698,77.4833,10.2333,20140928,1
129,306100833,77.4833,10.2333,20140721,2
130,293275795,78.75,10.2333,20140413,0
131,284308873,76.4,10.2,20140201,1
132,318270559,76.2333,10.3333,20141013,1
133,324914603,77.95,10.35,20141124,1
134,285589976,77.95,10.35,20140212,1
135,288568389,77.95,10.35,20140307,1
136,283644432,77.95,10.35,20140127,1
137,285769778,77.95,10.35,20140213,1
138,284136312,77.95,10.35,20140130,1
139,285506932,77.95,10.35,20140211,1
140,325725269,77.95,10.35,20141130,1
141,306552380,77.95,10.35,20140724,2
142,296206993,77.95,10.35,20140506,1
143,290335443,77.95,10.35,20140314,1
144,290844581,77.95,10.35,20140325,1
145,293473905,77.95,10.35,20140415,1
146,325398296,77.95,10.35,20141127,1
147,316893502,77.95,10.35,20141004,1
148,329521820,77.95,10.35,20141226,1
149,309401420,77.95,10.35,20140813,1
150,328337710,77.95,10.35,20141217,1
151,306376591,77.95,10.35,20140723,2
152,315586437,77.95,10.35,20140925,1
153,312274796,77.95,10.35,20140903,1
154,317187723,77.95,10.35,20141006,1
155,327024325,77.95,10.35,20141208,1
156,323404600,77.95,10.35,20141114,1
157,294734306,77.95,10.35,20140424,1
158,303992503,77.95,10.35,20140707,2
159,310669924,77.95,10.35,20140822,1
160,301494026,77.95,10.35,20140617,1
161,310150963,77.95,10.35,20140819,1
162,329945223,77.95,10.35,20141230,1
163,321010479,77.95,10.35,20141030,1
164,295800626,77.95,10.35,20140502,1
165,326735573,76.9667,10.3667,20141205,1
166,328229856,76.9667,10.3667,20141216,1
167,291923840,76.9667,10.3667,20140402,1
168,296158052,76.9667,10.3667,20140505,0
169,314849585,76.9667,10.3667,20140920,0
170,309326394,76.9667,10.3667,20140813,1
171,329474236,76.9667,10.3667,20141225,1
172,292371696,78.9833,10.3667,20140406,0
173,302078543,78.8167,10.3833,20140621,1
174,316519565,78.8167,10.3833,20141001,1
175,293334165,78.8167,10.3833,20140414,0
176,288226970,78.8167,10.3833,20140305,0
177,300648930,78.8167,10.3833,20140610,1
178,310438131,78.8167,10.3833,20140821,1
179,315447003,77.5333,10.4667,20140924,1
180,296219325,77.5333,10.4667,20140506,1
181,329067387,77.5333,10.4667,20141222,0
182,286366875,77.5333,10.4667,20140218,0
183,302173950,77.5333,10.4667,20140622,0
184,317344725,77.5333,10.4667,20141007,1
185,290715120,77.5333,10.4667,20140324,3
186,291582689,77.5333,10.4667,20140331,3
187,321161750,77.5333,10.4667,20141031,1
188,306211188,77.5333,10.4667,20140722,2
189,320069908,77.5333,10.4667,20141024,1
190,286525367,77.5333,10.4667,20140219,0
191,315095991,77.5333,10.4667,20140922,1
192,284428373,77.5333,10.4667,20140202,0
193,293504513,77.5333,10.4667,20140415,3
194,281825799,79.6333,10.4667,20140105,1
195,301086393,79.6333,10.4667,20140613,1
196,310112626,79.6333,10.4667,20140720,1
197,286558735,76.2167,10.5167,20140219,1
198,299442861,76.2167,10.5167,20140531,1
199,299153322,76.2167,10.5167,20140529,1
200,296963310,76.2167,10.5167,20140512,1
201,301256769,76.2167,10.5167,20140608,1
202,288450436,76.2167,10.5167,20140306,1
203,282621355,76.2167,10.5167,20140111,1
204,301486157,76.2167,10.5167,20140610,1
205,316745524,76.2167,10.5167,20141003,1
206,283872096,76.2167,10.5167,20140128,1
207,322644860,76.2167,10.5167,20141110,1
208,286088046,76.2167,10.5167,20140215,1
209,292002456,76.2167,10.5167,20140403,1
210,322487553,76.2167,10.5167,20141108,1
211,304286885,76.2167,10.5167,20140709,1
212,287446402,76.2167,10.5167,20140226,1
213,326153452,76.2167,10.5167,20141202,1
214,325427924,76.2167,10.5167,20141127,1
215,307348072,76.2167,10.5167,20140729,1
216,321342083,76.2167,10.5167,20141101,1
217,328865933,76.2167,10.5167,20141220,1
218,325651950,76.2167,10.5167,20141129,1
219,287282304,76.2167,10.5167,20140225,1
220,321467488,76.2167,10.5167,20141102,1
221,318556318,76.2167,10.5167,20141015,1
222,289742314,76.2167,10.5167,20140317,1
223,289960036,76.2167,10.5167,20140318,1
224,328690168,76.2167,10.5167,20141219,1
225,322329741,76.2167,10.5167,20141107,1
226,323779560,76.2167,10.5167,20141117,1
227,299841580,76.2167,10.5167,20140603,1
228,296108480,76.2167,10.5167,20140505,1
229,308066730,76.2167,10.5167,20140804,0
230,310184558,76.2167,10.5167,20140819,0
231,301195132,76.2167,10.5167,20140614,1
232,282086496,76.2167,10.5167,20140107,1
233,286394258,76.2167,10.5167,20140218,1
234,324769458,78.3,10.5333,20141123,0
235,294354710,77.1667,10.5,20140422,0
236,307975358,76.9333,10.5833,20140803,1
237,316651088,76.9333,10.5833,20141002,1
238,299182883,79.65,10.5833,20140529,1
239,293151180,79.65,10.5833,20140412,1
240,318559783,79.65,10.5833,20141015,1
241,297545953,79.65,10.5833,20140516,1
242,291891616,79.65,10.5833,20140402,1
243,286173269,79.65,10.5833,20140217,1
244,307105462,79.65,10.5833,20140728,1
245,329633956,79.65,10.5833,20141227,1
246,289934060,79.65,10.5833,20140318,1
247,286348886,79.65,10.5833,20140218,1
248,301827739,79.65,10.5833,20140619,1
249,302103186,79.65,10.5833,20140621,1
250,301385716,79.65,10.5833,20140616,1
251,288614878,79.65,10.5833,20140307,1
252,287173558,79.65,10.5833,20140224,1
253,288437539,79.65,10.5833,20140306,1
254,302457345,79.65,10.5833,20140624,1
255,313838174,79.65,10.5833,20140913,1
256,310688788,79.65,10.5833,20140822,1
257,301281498,76.0833,10.65,20140615,1
258,303605778,76.0833,10.65,20140703,1
259,300671188,76.0833,10.65,20140610,1
260,301068446,76.0833,10.65,20140613,1
261,302206469,77.0167,10.6667,20140622,1
262,291449647,77.0167,10.6667,20140329,1
