uniqueid,lon,lat,event_start,p,literacyRate,workerPop_main,police_proximity,postal_proximity,hospital_proximity,university_proximity,college_proximity,school_proximity,police_density,postal_density,hospital_density,university_density,college_density,school_density
294370859,92.9667,26.8,20140422,1924110,0.378117239,0.191399984,0.101821785,0.374520601,0.249634128,0.038986065,0.435500239,0.469360283,0,0,0,0,0,0
294372504,92.7667,24.8667,20140422,1736617,0.622257013,0.113083744,0.017555065,0.610179917,0.016850356,0.305126638,0.016426292,0.021085949,0.666666667,0,0.625,0,0.25,0.047619048
294372505,95.15,28.3,20140422,35320,0.228543412,0.719932244,0.182299985,0.136508305,0.160852657,0.150776911,0.218009273,0.180853558,0,0,0,0,0,0
294376711,92.8,24.8167,20140422,1736617,0.622257013,0.113083744,0.001938072,0.613767312,0.004512503,0.321349577,0.004100854,0.003878139,1,0,0.625,0,0.25,0.047619048
294385296,95.4667,27.8,20140422,686133,0.487150595,0.217523259,0.091850043,0.058745973,0.112552664,0.098396332,0.085062451,0.094672957,0,0,0,0,0,0
294412376,91.0667,26.4333,20140422,1693622,0.306357096,0.090946734,0.287622456,0.685900058,0.238358274,0.191274571,0.268257799,0.293496416,0,0,0,0,0,0
294505919,92,24,20140423,378230,0.752075849,0.179403833,0.303576969,0.810651799,0.421692738,0.45805413,0.436558599,0.298289734,0,0,0,0,0,0
294516377,94.5333,25.6167,20140423,183998,0.663199223,0.513874071,0.44531585,0.348703156,0.278883636,0.474171233,0.281879901,0.177448294,0,0,0,0,0,0
294516378,94.1167,25.6667,20140423,267988,0.742122292,0.531499302,0.410880364,0.366916464,0.295730979,0.425453337,0.304376413,0.013246088,0,0,0,0,0,0.047619048
294526845,94.5333,26.3333,20140423,194622,0.871979786,0.66967354,0.212076719,0.229227809,0.001531724,0.300085945,0.005161911,0.003025533,0,0,0.5,0,0.25,0.428571429
294567227,92.6667,26.35,20140423,2823768,0.480460599,0.084634914,0.130567503,0.451385582,0.334052188,0.102798736,0.326004381,0.370164874,0,0,0,0,0,0
294729084,93.45,26.9,20140424,1924110,0.378117239,0.191399984,0.1383166,0.295442205,0.088601844,0.094343083,0.270101522,0.303921524,0,0,0,0,0,0
294729692,92.6667,26.35,20140424,2823768,0.480460599,0.084634914,0.130567503,0.451385582,0.334052188,0.102798736,0.326004381,0.370164874,0,0,0,0,0,0
294732201,95.15,28.3,20140424,35320,0.228543412,0.719932244,0.182299985,0.136508305,0.160852657,0.150776911,0.218009273,0.180853558,0,0,0,0,0,0
294849709,90.2718,26.399,20140425,887142,0.335042213,0.184710061,0.601431683,0.810873964,0.503328429,0.018275487,0.537716072,0.597244609,0,0,0,0.2,0,0
294855271,94.2167,26.75,20140425,1092256,0.679377015,0.232271243,0,0.201983836,0.004653374,0.15759232,0,0.002986787,1,0,0.375,0,1,0.19047619
294856080,91.275,23.8364,20140425,1725739,0.812502088,0.200374205,0.000281434,0.911476814,0.66390666,0.529687903,0.675946226,0,1,0,0,0,0,0.19047619
294874854,92.7667,24.8667,20140425,1736617,0.622257013,0.113083744,0.017555065,0.610179917,0.016850356,0.305126638,0.016426292,0.021085949,0.666666667,0,0.625,0,0.25,0.047619048
294909609,94.2667,26.1,20140425,166343,0.792091491,0.55181775,0.274896045,0.28700429,0.124497665,0.319316163,0.135347261,0.138134307,0,0,0,0,0,0
294910144,94.75,26.6833,20140425,50484,0.476350264,0.823521862,0.213424632,0.157175194,0.136866391,0.282473088,0.154252193,0.12646303,0,0,0,0,0,0
294990883,92,24,20140426,378230,0.752075849,0.179403833,0.303576969,0.810651799,0.421692738,0.45805413,0.436558599,0.298289734,0,0,0,0,0,0
295003705,92.7667,24.8667,20140426,1736617,0.622257013,0.113083744,0.017555065,0.610179917,0.016850356,0.305126638,0.016426292,0.021085949,0.666666667,0,0.625,0,0.25,0.047619048
295006670,93.95,24.8167,20140426,456113,0.675304268,0.296262499,0.027273353,0.517043456,0.334737084,0.573993151,0.328068429,0.019151474,0.333333333,0,0,0,0,0.142857143
295033805,91.275,23.8364,20140426,1725739,0.812502088,0.200374205,0.000281434,0.911476814,0.66390666,0.529687903,0.675946226,0,1,0,0,0,0,0.19047619
295078267,94.5,25.8833,20140427,140757,0.742698583,0.456649983,0.389062004,0.30530237,0.173367137,0.401850317,0.177036658,0.181645929,0,0,0,0,0,0
295088207,92.35,24.8667,20140427,1228686,0.599474177,0,0.182503332,0.655399919,0.15994132,0.238342095,0.160539219,0.178586632,0,0,0,0,0,0
295088860,91.275,23.8364,20140427,1725739,0.812502088,0.200374205,0.000281434,0.911476814,0.66390666,0.529687903,0.675946226,0,1,0,0,0,0,0.19047619
295113275,95,26,20140427,196596,0.494815049,0.638014497,0.449153794,0.264353756,0.207654745,0.452160604,0.204722853,0.230913806,0,0,0,0,0,0
295113753,92.3667,26.5333,20140427,928500,0.291485615,0.091431326,0.174765483,0.48184834,0.260129834,0.121874552,0.255362871,0.287069935,0,0,0,0,0,0
295113817,94.2167,26.75,20140427,1092256,0.679377015,0.232271243,0,0.201983836,0.004653374,0.15759232,0,0.002986787,1,0,0.375,0,1,0.19047619
295113925,92.7175,23.7244,20140427,400309,0.999473738,0.554627115,0.472576247,0.784196468,0.419505987,0.57694438,0.43552971,0.488490873,0,0,0,0,0,0
295142084,92.8,24.8167,20140427,1736617,0.622257013,0.113083744,0.001938072,0.613767312,0.004512503,0.321349577,0.004100854,0.003878139,1,0,0.625,0,0.25,0.047619048
295163468,91.7333,26.1833,20140421,1253938,0.812922813,0.29334266,0.005069589,0.600481798,0.001222717,0.164136291,0.011323447,0.007749201,0.666666667,0,0.375,0,0.25,0.142857143
295168260,94.5,28,20140428,83448,0.306043086,0.279179792,0.297870628,0.137909568,0.221178489,0.152284689,0.224751041,0.243521495,0,0,0,0,0,0
295228851,94.25,26,20140428,267988,0.742122292,0.531499302,0.319390838,0.303904585,0.158491861,0.344056951,0.168282154,0.14917961,0,0,0,0,0,0
295339248,91.7333,26.1833,20140429,1253938,0.812922813,0.29334266,0.005069589,0.600481798,0.001222717,0.164136291,0.011323447,0.007749201,0.666666667,0,0.375,0,0.25,0.142857143
295345577,93.0667,24.8667,20140429,1736617,0.622257013,0.113083744,0.039397269,0.580251148,0.02343308,0.365514099,0.016600193,0.019935238,0,0,0.125,0,0.5,0.761904762
295345604,92.7175,23.7244,20140429,400309,0.999473738,0.554627115,0.472576247,0.784196468,0.419505987,0.57694438,0.43552971,0.488490873,0,0,0,0,0,0
295345605,92.5667,24.6833,20140429,659296,0.520407978,0.048703575,0.09935116,0.65648358,0.090125473,0.31253189,0.100582744,0.109436284,0,0,0,0,0,0
295364680,92.7667,24.8667,20140429,1736617,0.622257013,0.113083744,0.017555065,0.610179917,0.016850356,0.305126638,0.016426292,0.021085949,0.666666667,0,0.625,0,0.25,0.047619048
295463066,92.2667,27.3333,20140430,83947,0.372574633,0.726754654,0.380831867,0.465188838,0.4801019,0.225089502,0.49226989,0.54661718,0,0,0,0,0,0
295477632,94.5,28,20140430,83448,0.306043086,0.279179792,0.297870628,0.137909568,0.221178489,0.152284689,0.224751041,0.243521495,0,0,0,0,0,0
295488693,91.7333,26.1833,20140430,1253938,0.812922813,0.29334266,0.005069589,0.600481798,0.001222717,0.164136291,0.011323447,0.007749201,0.666666667,0,0.375,0,0.25,0.142857143
295488694,91.25,26.3333,20140430,1693622,0.306357096,0.090946734,0.209541592,0.66335823,0.162438681,0.241567723,0.193223379,0.209757025,0,0,0,0,0,0
295491013,93.05,27.3,20140430,78690,0.229161644,0.510081895,0.318032631,0.340895434,0.211937944,0.174745167,0.306245551,0.319220058,0,0,0,0,0,0
295654429,93.6167,27.1,20140501,176573,0.634654519,0.186618475,0.242697889,0.258536062,0.007166455,0.027884777,0.213669467,0.210372139,0,0,0.125,0,0,0
295654913,92.7667,24.8667,20140501,1736617,0.622257013,0.113083744,0.017555065,0.610179917,0.016850356,0.305126638,0.016426292,0.021085949,0.666666667,0,0.625,0,0.25,0.047619048
295661491,94.5,28,20140501,83448,0.306043086,0.279179792,0.297870628,0.137909568,0.221178489,0.152284689,0.224751041,0.243521495,0,0,0,0,0,0
295683088,93.7,25.85,20140501,956313,0.416999529,0.133047222,0.350698368,0.376874886,0.345008676,0.324789483,0.357082836,0.173201621,0,0,0,0,0,0
295742701,89.9949,26.4218,20140502,887142,0.335042213,0.184710061,0.713335488,0.853057345,0.601659574,0.074691174,0.636296181,0.707881197,0,0,0,0,0,0
295749375,90.9333,26.3333,20140502,1693622,0.306357096,0.090946734,0.333550512,0.711843757,0.268402454,0.161817362,0.301823721,0.332393368,0,0,0,0,0,0
295760350,90.3333,25.5,20140502,643291,0.383024405,0.250981768,0.649967389,0.858146353,0.54014792,0.275137402,0.575049306,0.621128652,0,0,0,0,0,0
295789301,93.6167,27.1,20140502,176573,0.634654519,0.186618475,0.242697889,0.258536062,0.007166455,0.027884777,0.213669467,0.210372139,0,0,0.125,0,0,0
295789780,92.7667,24.8667,20140502,1736617,0.622257013,0.113083744,0.017555065,0.610179917,0.016850356,0.305126638,0.016426292,0.021085949,0.666666667,0,0.625,0,0.25,0.047619048
295791308,93.95,24.8167,20140502,456113,0.675304268,0.296262499,0.027273353,0.517043456,0.334737084,0.573993151,0.328068429,0.019151474,0.333333333,0,0,0,0,0.142857143
295848215,91.275,23.8364,20140502,1725739,0.812502088,0.200374205,0.000281434,0.911476814,0.66390666,0.529687903,0.675946226,0,1,0,0,0,0,0.19047619
295874636,93.4667,26.6,20140503,1066888,0.583470069,0.252656565,0.023878974,0.3166044,0.195411482,0.159144222,0.265350232,0.298814609,0.333333333,0,0,0,0,0
295879372,90.9333,26.3333,20140503,1693622,0.306357096,0.090946734,0.333550512,0.711843757,0.268402454,0.161817362,0.301823721,0.332393368,0,0,0,0,0,0
295905293,90.5568,26.4782,20140503,482162,0.301117716,0.194477603,0.492982862,0.762775678,0.412871346,0.059786422,0.445524063,0.493059304,0,0,0,0,0,0
295925737,91.3333,26.5333,20140503,950075,0.416980852,0.181113174,0.183661653,0.639545576,0.189463263,0.259786413,0.209191769,0.225669147,0,0,0,0,0,0
295961355,91.7333,26.1833,20140503,1253938,0.812922813,0.29334266,0.005069589,0.600481798,0.001222717,0.164136291,0.011323447,0.007749201,0.666666667,0,0.375,0,0.25,0.142857143
295962382,89.9667,26.0333,20140504,1949258,0.195042741,0.116737377,0.721709966,0.8771696,0.605249571,0.148361842,0.641846148,0.716217842,0,0,0,0,0,0
295968062,95.25,27.55,20140504,1326335,0.555260666,0.182041339,0.024030231,0.00210395,0.039948591,0.072128989,0.034091739,0.042607661,0.333333333,1,0,0,0,0
295975077,90.3333,25.5,20140504,643291,0.383024405,0.250981768,0.649967389,0.858146353,0.54014792,0.275137402,0.575049306,0.621128652,0,0,0,0,0,0
295977659,92,24,20140504,378230,0.752075849,0.179403833,0.303576969,0.810651799,0.421692738,0.45805413,0.436558599,0.298289734,0,0,0,0,0,0
295979851,93.7333,25.9,20140504,378811,0.733086974,0.320016426,0.334737295,0.366484874,0.324410119,0.320329285,0.336591003,0.171857554,0,0,0,0,0,0
295999886,93.7,25.85,20140504,956313,0.416999529,0.133047222,0.350698368,0.376874886,0.345008676,0.324789483,0.357082836,0.173201621,0,0,0,0,0,0
296046154,90.2718,26.399,20140428,887142,0.335042213,0.184710061,0.601431683,0.810873964,0.503328429,0.018275487,0.537716072,0.597244609,0,0,0,0.2,0,0
296049167,89.9667,26.0333,20140505,1949258,0.195042741,0.116737377,0.721709966,0.8771696,0.605249571,0.148361842,0.641846148,0.716217842,0,0,0,0,0,0
296069705,93.3333,26.8,20140505,1924110,0.378117239,0.191399984,0.095761352,0.319609043,0.145360252,0.125536867,0.305840227,0.34407356,0,0,0,0,0,0
296079153,92.9167,25.0833,20140505,214102,0.585525965,0.330463361,0.115259734,0.564510243,0.106587441,0.298940484,0.10659306,0.118893874,0,0,0,0,0,0
296095489,94.2167,26.75,20140505,1092256,0.679377015,0.232271243,0,0.201983836,0.004653374,0.15759232,0,0.002986787,1,0,0.375,0,1,0.19047619
296184163,95.25,27.55,20140506,1326335,0.555260666,0.182041339,0.024030231,0.00210395,0.039948591,0.072128989,0.034091739,0.042607661,0.333333333,1,0,0,0,0
296188581,94.25,26,20140506,267988,0.742122292,0.531499302,0.319390838,0.303904585,0.158491861,0.344056951,0.168282154,0.14917961,0,0,0,0,0,0
296188694,92,24,20140506,378230,0.752075849,0.179403833,0.303576969,0.810651799,0.421692738,0.45805413,0.436558599,0.298289734,0,0,0,0,0,0
296189438,92.7667,24.8667,20140506,1736617,0.622257013,0.113083744,0.017555065,0.610179917,0.016850356,0.305126638,0.016426292,0.021085949,0.666666667,0,0.625,0,0.25,0.047619048
296203233,91.275,23.8364,20140506,1725739,0.812502088,0.200374205,0.000281434,0.911476814,0.66390666,0.529687903,0.675946226,0,1,0,0,0,0,0.19047619
296217931,91.7889,26.1425,20140506,1253938,0.812922813,0.29334266,0.01061846,0.595292641,0.02270395,0.149551685,0.011657818,0.024915267,0.666666667,0,0.25,0,0.25,0.142857143
